pid,name,family_name,sex,father_pid,mother_pid,race,sex_code,race_code
507,Wendy Wilson,,F,687.0,360.0,white,0,5
510,Wanda Ventham,,F,,,white,0,5
512,Elisabeth De Belgique,,F,57.0,777.0,white,0,5
515,Chiranjeevi,,M,,,indian,1,2
516,Rajesh Khattar,,M,,,indian,1,2
520,Hillary Clinton,,F,,,white,0,5
523,Hailie Jade Scott,,F,765.0,876.0,white,0,5
532,Kathy Hilton,,F,,,white,0,5
538,Grace Mcneil,,F,,,white,0,5
543,Jackie Shroff,,M,,,indian,1,2
545,Tiger Shroff,,M,543.0,1111.0,middle eastern,1,4
546,Pankaj Kapur,,M,,,white,1,5
558,Cynthia Germanotta,,F,,,white,0,5
559,Sanjay Kapoor,,M,,,white,1,5
567,Nicola Elizabeth Frost,,F,,,white,0,5
569,Paige Dylan,,F,,,white,0,5
576,Rob Lowe,,M,,,white,1,5
579,Matt Damon,,M,894.0,353.0,white,1,5
580,Leonardo Dicaprio,,M,1055.0,383.0,latino hispanic,1,3
587,Meryl Streep,,F,,,white,0,5
588,Grace Gummer,,F,67.0,587.0,white,0,5
598,Sistine Rose Stallone,,F,940.0,1056.0,white,0,5
608,Princess Margaret Countess Of Snowdon,,F,,,white,0,5
609,Chelsea Clinton,,F,61.0,520.0,white,0,5
617,Paul Gascoigne,,M,,,white,1,5
623,Sage Stallone,,M,940.0,277.0,white,1,5
627,Benedict Cumberbatch,,M,50.0,510.0,white,1,5
629,Paul Qualley,,M,,,white,1,5
630,Rande Gerber,,M,,,white,1,5
631,Rajesh Khanna,,M,,,indian,1,2
637,Christian Restoin,,M,,,white,1,5
643,Vivek Oberoi,,M,82.0,674.0,middle eastern,1,4
644,Lisa Marie Presley,,F,907.0,428.0,white,0,5
645,Nathalie Baye,,F,,,white,0,5
656,Sheryl Berkoff,,F,,,white,0,5
660,Jennifer Schwalbach Smith,,F,,,latino hispanic,0,3
663,Harley Quinn Smith,,F,21.0,660.0,white,0,5
668,Ava Elizabeth Phillippe,,F,1053.0,684.0,white,0,5
670,Kate Hudson,,F,1090.0,408.0,white,0,5
674,Yashodhara Oberoi,,F,,,black,0,1
678,Kim Kardashian,,F,962.0,168.0,latino hispanic,0,3
681,Olivia Jade Giannulli,,F,1011.0,278.0,white,0,5
684,Reese Witherspoon,,F,,,white,0,5
687,Brian Wilson,,M,,,white,1,5
690,Nishi Mukesh,,F,,,white,0,5
693,Sara Ali Khan,,F,956.0,694.0,latino hispanic,0,3
694,Amrita Singh,,F,,,latino hispanic,0,3
696,Kaia Gerber,,F,630.0,722.0,white,0,5
700,Ida Lundgren,,F,1012.0,414.0,white,0,5
701,Miley Cyrus,,F,886.0,909.0,white,0,5
715,Marcheline Bertrand,,F,,,white,0,5
722,Cindy Crawford,,F,,,white,0,5
726,Twinkle Khanna,,F,631.0,1093.0,white,0,5
737,Jon Gosselin,,M,,,asian,1,0
740,Trey Smith,,M,158.0,310.0,black,1,1
747,Dominic Holland,,M,,,white,1,5
748,William Alvin Pitt,,M,,,white,1,5
754,Lady Gaga,,F,848.0,558.0,white,0,5
758,Ishaan Khattar,,M,516.0,380.0,white,1,5
761,Francesca Fisher Eastwood,,F,28.0,361.0,white,0,5
765,Eminem,,M,,,white,1,5
771,August Coppola,,M,,,white,1,5
772,Francis Ford Coppola,,M,,,white,1,5
777,Mathilde D'udekem D'acoz,,F,,,white,0,5
785,Laura Smet,,F,963.0,645.0,asian,0,0
803,Tom Holland,,M,747.0,567.0,white,1,5
807,Kate,,F,,,white,0,5
808,Sheryl Gascoigne,,F,,,white,0,5
824,Nitin Mukesh,,M,,,white,1,5
825,Rishi Kapoor,,M,,,latino hispanic,1,3
829,Joy Vogelsang,,F,,,white,0,5
840,Katherine Schwarzenegger,,F,42.0,429.0,white,0,5
846,Uday Chopra,,M,1027.0,182.0,indian,1,2
847,David Dhawan,,M,,,indian,1,2
848,Joseph Germanotta,,M,,,white,1,5
864,Georgia May Jagger,,F,964.0,497.0,white,0,5
871,Carys Zeta Douglas,,F,602.0,438.0,white,0,5
876,Kimberly Anne Scott,,F,,,white,0,5
883,Richie Sambora,,M,,,white,1,5
886,Billy Ray Cyrus,,M,,,white,1,5
891,Gauri Khan,,F,,,white,0,5
894,Kent Damon,,M,,,white,1,5
896,Christopher John Jackman,,M,,,white,1,5
898,Javed Akhtar,,M,,,indian,1,2
899,Farhan Akhtar,,M,898.0,387.0,indian,1,2
907,Elvis Presley Color,,M,,,white,1,5
909,Letitia Jean,,F,,,white,0,5
910,Paris Hilton,,F,13.0,532.0,white,0,5
911,Levi Dylan,,M,768.0,569.0,white,1,5
915,David Arquette,,M,,,white,1,5
940,Sylvester Stallone,,M,,,white,1,5
945,Candace Cameron Bure,,F,,,white,0,5
946,Bianca Gascoigne,,F,617.0,808.0,white,0,5
947,Natasha Bure,,F,1057.0,945.0,white,0,5
956,Saif Ali Khan,,M,,,white,1,5
962,Robert Kardashian,,M,,,latino hispanic,1,3
963,Johnny Hallyday,,M,,,white,1,5
964,Mick Jagger,,M,,,white,1,5
966,Neil Nitin Mukesh,,M,824.0,690.0,white,1,5
970,Ranbir Kapoor,,M,825.0,389.0,middle eastern,1,4
972,Alec Baldwin,,M,,,white,1,5
979,John Owen Lowe,,M,576.0,656.0,white,1,5
984,Matthew Cowles,,M,,,asian,1,0
991,Abhishek Bachchan,,M,1116.0,382.0,indian,1,2
993,Suhana Khan,,F,355.0,891.0,latino hispanic,0,3
1009,Carlos Leon,,M,,,white,1,5
1011,Mossimo Giannulli,,M,,,white,1,5
1012,Dolph Lundgren,,M,,,white,1,5
1016,Joseph Baena,,M,42.0,429.0,white,1,5
1027,Yash Chopra,,M,,,indian,1,2
1044,Maheep Sandhu,,F,,,middle eastern,0,4
1046,Ireland Baldwin,,F,972.0,372.0,white,0,5
1053,Ryan Phillippe,,M,,,white,1,5
1055,George Dicaprio,,M,,,white,1,5
1056,Jennifer Flavin,,F,,,white,0,5
1057,Valeri Bure,,M,,,white,1,5
1060,Ram Charan,,M,515.0,390.0,indian,1,2
1079,Varun Dhawan,,M,847.0,391.0,middle eastern,1,4
1081,Shahid Kapoor,,M,546.0,380.0,white,1,5
1090,Bill Hudson,,M,,,white,1,5
1092,Hugh Jackman,,M,896.0,538.0,white,1,5
1093,Dimple Kapadia,,F,,,white,0,5
1107,Nicolas Cage,,M,771.0,829.0,middle eastern,1,4
1111,Ayesha Shroff,,F,,,latino hispanic,0,3
1116,Amitabh Bachchan,,M,,,white,1,5
1121,ati,,,,,,,
1122,stef,,,,,,,
1123,vid,,,,,,,
